peppers,2
cauliflower,1
berries,0
veggie straws,15
lunchmeat,15
flour tortillas,0
can pineapple,7
honey bunches of oats,7
bars,7
juice boxes,4
oatmeal,9
deodorant,30
yogurt,9
shred cheddar,3
garlic,15
jalapeno,6
cucumber,0
ginger,7
carrots,7
broccoli,3
salad greens,7
tomatoes,1
oranges,3
grapes,1
bananas,0
peaches,7
onions,3
apples,5
lemon,2
lime,0
bread,4
english muffin,0
hot dogs,0
whole wheat tortillas,0
macaroni & cheese,10
marinara,5
hamburger helper,10
great northern beans,8
chicken stock,10
coffee,6
canned greens,20
cereal,5
raisins,10
peanut butter,30
honey,25
paper towels,10
small rectangle gladware,30
sandwich bags,30
gallon-size bags,20
dish detergent,15
laundry detergent,20
charcoal,0
chicken,10
toothpaste,50
frozen veggies,10
almonds,15
crackers,7
peanuts,10
juice,10
ice cream sandwiches,0
cottage cheese,5
milk,5
sour cream,7
spreadable butter,15
ricotta cheese,0
eggs,7
mozzarella,3
butter,10
sliced chz,4
block cheese,0
string chz,7
