peppers,7,1.2
cauliflower,7,1.29
berries,7,1.33
veggie straws,15,1.41
lunchmeat,10,1.9
flour tortillas,10,2
can pineapple,20,5
honey bunches of oats,10,6
bars,10,6
juice boxes,20,6
oatmeal,15,6
deodorant,50,15
yogurt,10,23
shred cheddar,10,24
garlic,15,1.1
jalapeno,7,1.2
cucumber,7,1.25
ginger,10,1.25
cucumber,7,1.26
carrots,15,1.29
broccoli,7,1.3
salad greens,7,1.31
tomatoes,7,1.31
oranges,7,1.35
grapes,7,1.35
bananas,7,1.35
peaches,0,1.38
onions,7,1.4
apples,7,1.4
lemon,7,1.41
lime,7,1.41
bread,7,1.74
english muffin,7,1.75
hot dogs,0,1.95
whole wheat tortillas,10,2
macaroni & cheese,15,3
marinara,15,3
hamburger helper,10,3
great northern beans,20,4
chicken stock,15,4
coffee,10,5
canned greens,20,5
cereal,10,6
raisins,10,6
peanut butter,15,6
honey,15,6
paper towels,20,8
small rectangle gladware,100,8
sandwich bags,100,8
gallon-size bags,100,8
dish detergent,30,9
laundry detergent,30,9
charcoal,0,9
chicken,10,10
toothpaste,30,15
frozen veggies,15,18
almonds,10,19
crackers,10,19
peanuts,10,19
juice,15,20
ice cream sandwiches,7,20
cottage cheese,10,21
milk,10,22
sour cream,10,22
spreadable butter,10,22
ricotta cheese,10,22
eggs,7,23
mozzarella,7,24
butter,10,24
sliced chz,10,25
block cheese,10,25
string chz,10,25
