peppers,7
cauliflower,6
berries,5
veggie straws,4
lunchmeat,3
flour tortillas,2
can pineapple,1
honey bunches of oats,10
bars,9
juice boxes,8
oatmeal,7
deodorant,6
yogurt,5
shred cheddar,4
garlic,3
jalapeno,2
cucumber,1
ginger,10
cucumber,7
carrots,6
broccoli,5
salad greens,4
tomatoes,3
oranges,2
grapes,1
bananas,7
peaches,6
onions,5
apples,4
lemon,3
lime,2
bread,1
english muffin,7
hot dogs,6
whole wheat tortillas,5
macaroni & cheese,3
marinara,15
hamburger helper,14
great northern beans,3
chicken stock,2
coffee,1
canned greens,20
cereal,19
raisins,18
peanut butter,17
honey,16
paper towels,15
small rectangle gladware,14
sandwich bags,13
gallon-size bags,12
dish detergent,11
laundry detergent,10
charcoal,9
chicken,8
toothpaste,7
frozen veggies,6
almonds,5
crackers,4
peanuts,3
juice,2
ice cream sandwiches,1
cottage cheese,10
milk,9
sour cream,8
spreadable butter,7
ricotta cheese,6
eggs,5
mozzarella,4
butter,3
sliced chz,1
block cheese,10
string chz,15
